Epoch,Best Candidate,Mean Fitness,
1111,662,588.5,
1112,662,592.806,
1113,662,586.068,
1114,662,589.804,
1115,662,588.92,
1116,662,589.58,
1117,662,593.57,
1118,662,588.716,
1119,662,589.034,
1120,662,587.602,
1121,662,590.996,
1122,662,590.916,
1123,662,589.392,
1124,662,587.4,
1125,662,596.896,
1126,662,587.996,
1127,662,594.086,
1128,662,593.63,
1129,662,591.282,
1130,662,594.444,
1131,662,590.588,
1132,662,585.748,
1133,662,585.52,
1134,662,587.448,
1135,662,585.182,
1136,662,580.298,
1137,662,586.446,
1138,662,578.766,
1139,662,582.948,
1140,662,579.814,
1141,662,582.86,
1142,662,583.498,
1143,662,582.692,
1144,662,583.622,
1145,662,576.72,
1146,662,585.472,
1147,662,585.356,
1148,662,582.992,
1149,662,580.34,
1150,662,585.004,
1151,662,582.918,
1152,662,578.042,
1153,662,583.028,
1154,662,577.7,
1155,662,579.578,
1156,662,579.708,
1157,662,580.326,
1158,662,573.804,
1159,662,585.118,
1160,662,582.066,
1161,662,577.774,
1162,662,581.412,
1163,662,577.514,
1164,662,581.958,
1165,662,578.96,
1166,662,580.97,
1167,662,584.632,
1168,662,580.162,
1169,662,580.206,
1170,662,588.694,
1171,662,585.576,
1172,662,588.574,
1173,662,589.86,
1174,662,592.56,
1175,662,590.506,
1176,662,590.39,
1177,662,584.452,
1178,662,587.83,
1179,662,588.548,
1180,662,591.232,
1181,662,592.664,
1182,662,594.53,
1183,662,592.97,
1184,662,589.584,
1185,662,597.218,
1186,662,595.756,
1187,662,596.628,
1188,662,602.13,
1189,662,598.156,
1190,662,593.084,
1191,662,597.2,
1192,663,592.304,
1193,663,584.62,
1194,663,590.128,
1195,663,590.43,
1196,663,595.314,
1197,663,591.192,
1198,663,591.294,
1199,663,586.274,
1200,663,591.384,
1201,663,589.222,
1202,663,585.054,
1203,663,582.89,
1204,663,582.838,
1205,663,583.58,
1206,663,581.344,
1207,663,582.67,
1208,663,583.002,
1209,663,580.328,
1210,663,581.134,
1211,663,581.17,
1212,663,591.026,
1213,663,582.446,
1214,663,583.38,
1215,663,584.49,
1216,663,585.7,
1217,663,589.914,
1218,663,588.782,
1219,663,584.99,
1220,663,585.57,
1221,663,588.866,
1222,663,591.512,
1223,663,588.058,
1224,663,588.072,
1225,663,592.424,
1226,663,587.066,
1227,663,592.766,
1228,663,578.708,
1229,664,581.086,
1230,664,588.938,
1231,664,586.346,
1232,664,588.266,
1233,664,585.962,
1234,664,586.95,
1235,664,588.188,
1236,664,585.906,
1237,664,586.218,
1238,664,593.164,
1239,664,590.766,
1240,664,583.268,
1241,664,587.54,
1242,664,587.492,
1243,664,584.154,
1244,664,587.078,
1245,664,589.542,
1246,664,585.406,
1247,664,580.31,
1248,664,583.668,
1249,664,576.878,
1250,664,586.598,
1251,664,581.564,
1252,664,585.772,
1253,664,589.656,
1254,664,585.926,
1255,664,585.658,
1256,664,586.346,
1257,664,590.706,
1258,664,586.862,
1259,664,594.304,
1260,664,590.242,
1261,664,587.674,
1262,664,582.194,
1263,664,581.31,
1264,664,584.32,
1265,664,585.814,
1266,664,586.76,
1267,664,581.478,
1268,664,577.48,
1269,664,578.024,
1270,664,574.032,
1271,664,582.45,
1272,664,586.318,
1273,664,586.852,
1274,664,594.418,
1275,664,596.538,
1276,664,588.106,
1277,664,590.884,
1278,664,587.992,
1279,664,596.272,
1280,664,591.692,
1281,664,588.56,
1282,664,590.11,
1283,664,585.662,
1284,664,589.1,
1285,664,587.52,
1286,664,592.642,
1287,664,595.33,
1288,664,595.636,
1289,664,587.374,
1290,664,587.264,
1291,664,589.74,
1292,664,591.196,
1293,664,586.34,
1294,664,583.87,
1295,664,584.436,
1296,664,584.836,
1297,664,586.952,
1298,664,592.772,
1299,664,597.232,
1300,664,598.722,
1301,664,596.71,
1302,664,591.904,
1303,664,595.266,
1304,664,593.932,
1305,664,589.016,
1306,664,594.384,
1307,664,593.852,
1308,664,591.376,
1309,664,596.838,
1310,664,596.734,
1311,664,592.624,
1312,664,594.73,
1313,664,588.53,
1314,664,589.726,
1315,664,586.44,
1316,664,587.908,
1317,664,585.922,
1318,664,591.198,
1319,664,590.892,
1320,664,586.014,
1321,664,584.062,
1322,664,586.876,
1323,664,574.25,
1324,664,575.608,
1325,664,583.326,
1326,664,586.624,
1327,664,580.948,
1328,664,575.636,
1329,664,581.156,
1330,664,577.364,
1331,664,584.354,
1332,664,590.066,
1333,664,590.41,
1334,664,589.348,
1335,664,594.58,
1336,664,591.348,
1337,664,594.68,
1338,664,584.61,
1339,664,593.868,
1340,664,591.518,
1341,664,590.464,
1342,664,596.84,
1343,664,594.136,
1344,664,585.58,
1345,665,588.308,
1346,665,580.562,
1347,665,587.368,
1348,665,592.456,
1349,665,593.294,
1350,665,594.586,
1351,665,595.578,
1352,665,596.788,
1353,665,594.448,
1354,665,590.846,
1355,665,593.136,
1356,665,595.734,
1357,665,591.816,
1358,665,583.65,
1359,665,588.06,
1360,665,588.714,
1361,665,591.226,
1362,665,586.124,
1363,665,581.858,
1364,665,587.92,
1365,665,583.744,
1366,665,589.97,
1367,665,592.112,
1368,665,581.606,
1369,665,583.888,
1370,665,581.1,
1371,665,576.198,
1372,665,582.256,
1373,665,586.724,
1374,665,585.322,
1375,665,589.854,
1376,665,585.838,
1377,665,582.428,
1378,665,576.79,
1379,665,587.586,
1380,665,583.426,
1381,665,587.65,
1382,665,590.656,
1383,665,590.626,
1384,665,593.974,
